Feature/Module,Assigned To,Technical State,Status,Priority,Feedback & Pending Comments,Dev Notes,Last Updated,Deadline
Authentication (Login),,Backend Connected,Buggy (Needs Fix),High,"Everytime the user login, it shows to complete profile","Check AuthContext.tsx profile-fetching logic and conditional redirects in App.tsx.",2026-01-20,
Authentication (OAuth),,Backend Connected,Buggy (Needs Fix),High,"Gmail OAuth vs Email signup creates double accounts for same email.","Need to enable 'Link accounts with same email' in Supabase Auth settings.",2026-01-20,
Event Creation (Profile),,Logic Related,Buggy (Needs Fix),Normal,"User can create Event without profile. Remove 'Skip' from initial profile setup.","Update 09_My_Profile.tsx or Wizard entrance logic to enforce profile data.",2026-01-20,
Event Creation (Waitlist),,Logic Related,Buggy (Needs Fix),Normal,"Waitlist capacity can exceed max attendees; field accepts non-numerical values.","Add validation logic in EventCreationWizard. Use <input type='number'>.",2026-01-20,
Event Creation (Attendance),,Logic Related,Buggy (Needs Fix),Normal,Max Attendees field should be Numerical only.,"Update input type and add Zod/Yup validation for 'positive integer'.",2026-01-20,
Authentication (Emails),,Backend Connected,Not Started,Normal,Verification emails should be sent from Eventra branding not Supabase defaults.,"Configure SMTP in Supabase or use the /api/send-email.js utility with a template.",2026-01-20,
Event Creation (Speakers),,Logic Related,Done,Normal,Add experience tags as a list. Required fields enforced.,"Updated EventSpeakersTab.tsx and added strict validation in AddEditSpeakerModal.",2026-01-26,
Event Creation (Speakers),,Backend Connected,Done,Normal,Speaker name field is empty when clicking edit.,"Fixed editingSpeaker state initialization and added fallback for undefined status.",2026-01-26,
Event Creation (Schedule),,Logic Related,Done,Normal,Session capacity exceeds event max; non-numerical input allowed. Required fields enforced.,"Added cross-field validation and mandatory date/time selection.",2026-01-26,
Event Creation (Schedule),,Logic Related,Done,High,Venue/Time conflict detection missing (double booking same venue).,"Implemented conflict check function in useSessions.ts and AddSessionModal.",2026-01-26,
Event Creation (Design Studio),,Logic Related,Done,High,Universal font injection and interactive edit controls enabled.,"Added Google Fonts and wired onEdit handlers for all blocks.",2026-01-26,
Platform Stability,,Auth Integration,Done,High,UI unmounts and data loss on tab switch fixed.,"Removed global setIsLoading(true) from background profile refreshes.",2026-01-26,
Registration (Payments),,Backend Related,Partial,High,Missing Stripe/Payment integration for paid tickets.,"CRITICAL: Replace simulation with real Stripe/PayPal Elements.",2026-01-20,
Logistics (Calculators),,External API,Partial,Normal,Logic depends on missing environment variables.,Configure VITE_LOGISTICS_API_BASE in .env.,2026-01-20,
Networking (Meetings),,Backend Connected,Done,Normal,BookMeetingModal is fully wired to b2b_meetings.,Monitor RLS performance.,2026-01-20,
Access Control (RBAC),,Backend Related,Partial,High,Row Level Security (RLS) policies are too permissive.,"Harden Supabase policies for User vs Admin vs Business.",2026-01-20,
